#  kappa           omega           dperp           zero eigenvalue
   5.0227253e-01   7.9430566e-01   6.1192332e-01   2.2267592e-11
   4.9861118e-01   7.9111918e-01   6.1227921e-01   2.5010533e-11
   4.9504352e-01   7.8788883e-01   6.1249126e-01   3.7091396e-11
   4.9156280e-01   7.8462012e-01   6.1257903e-01   4.3549498e-11
   4.8816296e-01   7.8131783e-01   6.1255941e-01   1.6956697e-11
   4.8483856e-01   7.7798615e-01   6.1244704e-01   2.3798889e-11
   4.8158464e-01   7.7462877e-01   6.1225469e-01   2.9421363e-11
   4.7839671e-01   7.7124893e-01   6.1199353e-01   7.0355290e-12
   4.7527068e-01   7.6784950e-01   6.1167336e-01   2.0859612e-11
   4.7220281e-01   7.6443304e-01   6.1130282e-01   2.2808067e-11
   4.6918965e-01   7.6100180e-01   6.1088953e-01   9.6385958e-12
   4.6622805e-01   7.5755783e-01   6.1044024e-01   1.5124961e-11
   4.6331511e-01   7.5410294e-01   6.0996092e-01   2.4664674e-11
   4.6044813e-01   7.5063878e-01   6.0945689e-01  -1.0456142e-11
   4.5762462e-01   7.4716682e-01   6.0893286e-01   1.4207419e-11
   4.5484228e-01   7.4368838e-01   6.0839304e-01   2.1273265e-11
   4.5209896e-01   7.4020469e-01   6.0784115e-01   1.8052602e-11
   4.4939266e-01   7.3671682e-01   6.0728053e-01   2.2966464e-11
   4.4672154e-01   7.3322579e-01   6.0671411e-01   1.7882765e-11
   4.4408385e-01   7.2973248e-01   6.0614453e-01  -3.3566554e-12
   4.4147797e-01   7.2623775e-01   6.0557413e-01   2.3973480e-11
   4.3890239e-01   7.2274232e-01   6.0500496e-01   2.7191905e-14
   4.3635568e-01   7.1924691e-01   6.0443886e-01   5.2115827e-12
   4.3383650e-01   7.1575215e-01   6.0387743e-01   1.6877185e-11
   4.3134362e-01   7.1225862e-01   6.0332209e-01   2.6030933e-11
   4.2887585e-01   7.0876686e-01   6.0277409e-01   1.2170962e-11
   4.2643208e-01   7.0527736e-01   6.0223451e-01   1.4504511e-11
   4.2401128e-01   7.0179058e-01   6.0170429e-01   6.9393944e-12
   4.2161247e-01   6.9830695e-01   6.0118422e-01   5.1900488e-13
   4.1923472e-01   6.9482685e-01   6.0067501e-01   5.6088909e-12
   4.1687716e-01   6.9135064e-01   6.0017723e-01   1.0214127e-11
   4.1453898e-01   6.8787867e-01   5.9969136e-01  -1.7118721e-12
   4.1221938e-01   6.8441124e-01   5.9921780e-01   2.9211766e-12
   4.0991765e-01   6.8094863e-01   5.9875687e-01   6.5594747e-12
   4.0763309e-01   6.7749113e-01   5.9830879e-01   4.0868270e-12
   4.0536504e-01   6.7403898e-01   5.9787376e-01   8.4355694e-12
   4.0311289e-01   6.7059242e-01   5.9745189e-01   1.2064672e-11
   4.0087605e-01   6.6715166e-01   5.9704323e-01   5.1946639e-12
   3.9865397e-01   6.6371690e-01   5.9664780e-01   1.4342230e-11
   3.9644612e-01   6.6028834e-01   5.9626557e-01   1.6471076e-11
   3.9425202e-01   6.5686615e-01   5.9589648e-01   1.4161304e-11
   3.9207118e-01   6.5345050e-01   5.9554042e-01   1.8455145e-11
   3.8990316e-01   6.5004155e-01   5.9519726e-01   1.9078685e-11
   3.8774755e-01   6.4663944e-01   5.9486683e-01   7.2437332e-12
   3.8560394e-01   6.4324431e-01   5.9454895e-01   1.6588806e-11
   3.8347197e-01   6.3985629e-01   5.9424341e-01   2.1393025e-11
   3.8135126e-01   6.3647549e-01   5.9394999e-01   4.8599431e-12
   3.7924149e-01   6.3310203e-01   5.9366843e-01   1.4660642e-11
   3.7714233e-01   6.2973602e-01   5.9339850e-01   1.4675026e-11
   3.7505349e-01   6.2637756e-01   5.9313991e-01   2.2221033e-11
   3.7297466e-01   6.2302673e-01   5.9289239e-01   9.5699238e-12
   3.7090559e-01   6.1968364e-01   5.9265566e-01   2.0821249e-11
   3.6884601e-01   6.1634835e-01   5.9242942e-01   2.0197961e-11
   3.6679569e-01   6.1302095e-01   5.9221337e-01   1.4162486e-11
   3.6475439e-01   6.0970152e-01   5.9200722e-01   1.9988447e-11
   3.6272189e-01   6.0639012e-01   5.9181066e-01   2.0312292e-11
   3.6069799e-01   6.0308681e-01   5.9162339e-01   6.4296521e-12
   3.5868249e-01   5.9979167e-01   5.9144510e-01   2.4072300e-11
   3.5667521e-01   5.9650474e-01   5.9127549e-01   2.0636967e-11
   3.5467599e-01   5.9322608e-01   5.9111426e-01   1.6214074e-11
   3.5268464e-01   5.8995574e-01   5.9096110e-01   8.5205009e-12
   3.5070102e-01   5.8669377e-01   5.9081572e-01   2.0549281e-11
   3.4872498e-01   5.8344021e-01   5.9067783e-01   1.5173387e-11
   3.4675638e-01   5.8019511e-01   5.9054714e-01   2.1740504e-11
   3.4479510e-01   5.7695851e-01   5.9042336e-01   1.6202031e-11
   3.4284101e-01   5.7373044e-01   5.9030622e-01   2.5417110e-11
   3.4089400e-01   5.7051095e-01   5.9019544e-01   2.4727933e-11
   3.3895395e-01   5.6730006e-01   5.9009076e-01   2.5411142e-11
   3.3702076e-01   5.6409780e-01   5.8999191e-01   3.3688375e-11
   3.3509434e-01   5.6090421e-01   5.8989863e-01   1.8490887e-11
   3.3317460e-01   5.5771931e-01   5.8981069e-01   1.8452217e-11
   3.3126145e-01   5.5454313e-01   5.8972783e-01   2.1540960e-11
   3.2935481e-01   5.5137570e-01   5.8964982e-01   2.4850429e-11
   3.2745460e-01   5.4821703e-01   5.8957644e-01   3.0187502e-11
   3.2556076e-01   5.4506715e-01   5.8950746e-01   2.7765321e-11
   3.2367322e-01   5.4192608e-01   5.8944267e-01   2.6917964e-11
   3.2179192e-01   5.3879383e-01   5.8938186e-01   3.1137356e-11
   3.1991679e-01   5.3567043e-01   5.8932483e-01   2.4295077e-11
   3.1804778e-01   5.3255589e-01   5.8927138e-01   2.6322705e-11
   3.1618485e-01   5.2945023e-01   5.8922134e-01   4.2325521e-11
   3.1432795e-01   5.2635347e-01   5.8917452e-01   2.6185117e-11
   3.1247702e-01   5.2326560e-01   5.8913075e-01   1.8733773e-11
   3.1063203e-01   5.2018666e-01   5.8908987e-01   1.7843171e-11
   3.0879294e-01   5.1711665e-01   5.8905171e-01   1.6397457e-11
   3.0695971e-01   5.1405558e-01   5.8901613e-01   4.2110463e-11
   3.0513232e-01   5.1100346e-01   5.8898297e-01   2.7833349e-11
   3.0331072e-01   5.0796031e-01   5.8895210e-01   3.0040606e-11
   3.0149488e-01   5.0492612e-01   5.8892338e-01   3.3615828e-11
   2.9968479e-01   5.0190092e-01   5.8889669e-01   3.2147546e-11
   2.9788042e-01   4.9888470e-01   5.8887191e-01   2.9113371e-11
   2.9608173e-01   4.9587748e-01   5.8884891e-01   3.5876914e-11
   2.9428872e-01   4.9287926e-01   5.8882759e-01   3.3076801e-11
   2.9250135e-01   4.8989005e-01   5.8880785e-01   3.4714621e-11
   2.9071962e-01   4.8690985e-01   5.8878958e-01   4.2041693e-11
   2.8894350e-01   4.8393867e-01   5.8877269e-01   3.9044220e-11
   2.8717297e-01   4.8097652e-01   5.8875709e-01   3.8186549e-11
   2.8540803e-01   4.7802340e-01   5.8874269e-01   4.6832475e-11
   2.8364866e-01   4.7507931e-01   5.8872942e-01   4.4926292e-11
   2.8189484e-01   4.7214425e-01   5.8871719e-01   4.0241727e-11
   2.8014657e-01   4.6921824e-01   5.8870594e-01   4.1585895e-11
   2.7840383e-01   4.6630128e-01   5.8869560e-01   4.2484847e-11
   2.7666661e-01   4.6339336e-01   5.8868610e-01   3.7169610e-11
   2.7493491e-01   4.6049450e-01   5.8867739e-01   4.3349002e-11
   2.7320871e-01   4.5760469e-01   5.8866940e-01   4.7940283e-11
   2.7148802e-01   4.5472393e-01   5.8866209e-01   4.4874541e-11
   2.6977281e-01   4.5185224e-01   5.8865540e-01   4.8514819e-11
   2.6806309e-01   4.4898960e-01   5.8864929e-01   5.3729772e-11
   2.6635884e-01   4.4613603e-01   5.8864371e-01   4.5681519e-11
   2.6466008e-01   4.4329152e-01   5.8863862e-01   5.4131109e-11
   2.6296677e-01   4.4045608e-01   5.8863399e-01   5.3903743e-11
   2.6127894e-01   4.3762971e-01   5.8862977e-01   4.9785200e-11
   2.5959656e-01   4.3481241e-01   5.8862594e-01   5.0709658e-11
   2.5791964e-01   4.3200417e-01   5.8862246e-01   5.2776369e-11
   2.5624817e-01   4.2920501e-01   5.8861931e-01   5.6299815e-11
   2.5458216e-01   4.2641493e-01   5.8861645e-01   6.1316306e-11
   2.5292159e-01   4.2363391e-01   5.8861387e-01   6.4584901e-11
   2.5126646e-01   4.2086197e-01   5.8861153e-01   6.4772868e-11
   2.4961678e-01   4.1809911e-01   5.8860943e-01   2.2439372e-11
   2.4434080e-01   4.0926277e-01   5.8860396e-01   1.2074643e-11
   2.4271407e-01   4.0653823e-01   5.8860261e-01   3.2571501e-11
   2.4109277e-01   4.0382277e-01   5.8860140e-01   3.5086643e-11
   2.3947691e-01   4.0111639e-01   5.8860031e-01   3.4562344e-11
   2.3786648e-01   3.9841908e-01   5.8859934e-01   3.7026624e-11
   2.3626148e-01   3.9573086e-01   5.8859848e-01   4.0656133e-11
   2.3466191e-01   3.9305172e-01   5.8859771e-01   3.4676754e-11
   2.3306777e-01   3.9038166e-01   5.8859702e-01   3.7931307e-11
   2.3147905e-01   3.8772069e-01   5.8859641e-01   4.8702293e-11
   2.2989577e-01   3.8506879e-01   5.8859586e-01   4.0085240e-11
   2.2831791e-01   3.8242598e-01   5.8859538e-01   4.1585406e-11
   2.2674548e-01   3.7979225e-01   5.8859495e-01   4.2025511e-11
   2.2517848e-01   3.7716760e-01   5.8859457e-01   4.2924091e-11
   2.2361690e-01   3.7455204e-01   5.8859424e-01   4.3242438e-11
   2.2206075e-01   3.7194556e-01   5.8859395e-01   4.7018801e-11
   2.2051002e-01   3.6934817e-01   5.8859369e-01   4.4967254e-11
   2.1896472e-01   3.6675985e-01   5.8859346e-01   4.8406239e-11
   2.1742485e-01   3.6418063e-01   5.8859326e-01   4.8314325e-11
   2.1589040e-01   3.6161048e-01   5.8859308e-01   5.4832248e-11
   2.1436138e-01   3.5904943e-01   5.8859293e-01   4.5947798e-11
   2.1283778e-01   3.5649745e-01   5.8859279e-01   4.9940411e-11
   2.1131960e-01   3.5395456e-01   5.8859268e-01   5.3517745e-11
   2.0980685e-01   3.5142076e-01   5.8859258e-01   5.9107543e-11
   2.0829953e-01   3.4889604e-01   5.8859249e-01   5.6551784e-11
   2.0679763e-01   3.4638041e-01   5.8859241e-01   5.9091882e-11
   2.0530116e-01   3.4387386e-01   5.8859234e-01   5.9895150e-11
   2.0381011e-01   3.4137639e-01   5.8859229e-01   6.7367805e-11
   2.0232448e-01   3.3888802e-01   5.8859224e-01   6.7308348e-11
   2.0084428e-01   3.3640873e-01   5.8859219e-01   7.0444513e-11
   1.9936951e-01   3.3393852e-01   5.8859216e-01   7.5760955e-11
   1.9790016e-01   3.3147740e-01   5.8859213e-01   6.6454340e-11
   1.9643623e-01   3.2902537e-01   5.8859210e-01   7.1096440e-11
   1.9497773e-01   3.2658242e-01   5.8859207e-01   7.5662510e-11
   1.9352466e-01   3.2414856e-01   5.8859205e-01   7.6973160e-11
   1.9207701e-01   3.2172379e-01   5.8859204e-01   7.6913451e-11
   1.9063478e-01   3.1930810e-01   5.8859202e-01   8.1391640e-11
   1.8919798e-01   3.1690150e-01   5.8859201e-01   8.7332652e-11
   1.8776661e-01   3.1450399e-01   5.8859200e-01   8.6404176e-11
   1.8634066e-01   3.1211556e-01   5.8859199e-01   8.8422052e-11
   1.8492013e-01   3.0973622e-01   5.8859199e-01   9.1010530e-11
   1.8350503e-01   3.0736597e-01   5.8859198e-01   9.1706224e-11
   1.8209536e-01   3.0500481e-01   5.8859197e-01   9.2980673e-11
   1.8069111e-01   3.0265273e-01   5.8859197e-01   9.6768539e-11
   1.7929229e-01   3.0030974e-01   5.8859197e-01   1.0161808e-10
   1.7789889e-01   2.9797584e-01   5.8859196e-01   1.0440743e-10
   1.7651092e-01   2.9565102e-01   5.8859196e-01   1.0789176e-10
   1.7512838e-01   2.9333530e-01   5.8859196e-01   1.0819940e-10
   1.7375126e-01   2.9102866e-01   5.8859196e-01   1.1533436e-10
   1.7237956e-01   2.8873111e-01   5.8859196e-01   1.2150078e-10
   1.7101329e-01   2.8644265e-01   5.8859195e-01   1.2016289e-10
   1.6965245e-01   2.8416327e-01   5.8859195e-01   1.2429806e-10
   1.6829704e-01   2.8189299e-01   5.8859195e-01   1.2869323e-10
   1.6694705e-01   2.7963179e-01   5.8859195e-01   1.3103462e-10
   1.6560248e-01   2.7737968e-01   5.8859195e-01   1.3492981e-10
   1.6426334e-01   2.7513666e-01   5.8859195e-01   1.4122359e-10
   1.6292963e-01   2.7290273e-01   5.8859195e-01   1.4951605e-10
   1.6160135e-01   2.7067789e-01   5.8859195e-01   1.4850593e-10
   1.6027849e-01   2.6846214e-01   5.8859195e-01   1.5276317e-10
   1.5896106e-01   2.6625547e-01   5.8859195e-01   1.6056091e-10
   1.5764905e-01   2.6405790e-01   5.8859195e-01   1.6420230e-10
   1.5634247e-01   2.6186941e-01   5.8859195e-01   1.7059950e-10
   1.5504132e-01   2.5969002e-01   5.8859195e-01   1.7405235e-10
   1.5374559e-01   2.5751971e-01   5.8859195e-01   1.7983848e-10
   1.5245529e-01   2.5535849e-01   5.8859195e-01   1.8463424e-10
   1.5117042e-01   2.5320637e-01   5.8859195e-01   1.9312636e-10
   1.4989097e-01   2.5106333e-01   5.8859195e-01   1.9831203e-10
   1.4861695e-01   2.4892938e-01   5.8859195e-01   2.0389273e-10
   1.4734836e-01   2.4680452e-01   5.8859195e-01   2.0926628e-10
   1.4608520e-01   2.4468876e-01   5.8859195e-01   2.1908987e-10
   1.4482746e-01   2.4258208e-01   5.8859195e-01   2.2543802e-10
   1.4357515e-01   2.4048449e-01   5.8859195e-01   2.3155477e-10
   1.4232826e-01   2.3839599e-01   5.8859195e-01   2.3966444e-10
   1.4108681e-01   2.3631659e-01   5.8859195e-01   2.4689197e-10
   1.3985078e-01   2.3424627e-01   5.8859195e-01   2.5702554e-10
   1.3862017e-01   2.3218505e-01   5.8859195e-01   2.6754055e-10
   1.3739500e-01   2.3013291e-01   5.8859195e-01   2.7238957e-10
   1.3617525e-01   2.2808987e-01   5.8859195e-01   2.8126344e-10
   1.3496093e-01   2.2605592e-01   5.8859195e-01   2.9167146e-10
   1.3375204e-01   2.2403105e-01   5.8859195e-01   3.0121875e-10
   1.3254858e-01   2.2201528e-01   5.8859195e-01   3.1322920e-10
