#  kappa           omega           dperp           zero eigenvalue
   1.3135054e-01   2.2000860e-01   5.8859195e-01   3.2556267e-10
   1.3015793e-01   2.1801102e-01   5.8859195e-01   3.3587998e-10
   1.2897075e-01   2.1602252e-01   5.8859195e-01   3.4480844e-10
   1.2778899e-01   2.1404311e-01   5.8859195e-01   3.5642679e-10
   1.2661267e-01   2.1207280e-01   5.8859195e-01   3.7077920e-10
   1.2544177e-01   2.1011158e-01   5.8859195e-01   3.8202948e-10
   1.2427630e-01   2.0815945e-01   5.8859195e-01   3.9638780e-10
   1.2311626e-01   2.0621641e-01   5.8859195e-01   4.1038818e-10
   1.2196165e-01   2.0428246e-01   5.8859195e-01   4.2305391e-10
   1.2081246e-01   2.0235761e-01   5.8859195e-01   4.4098694e-10
   1.1966870e-01   2.0044184e-01   5.8859195e-01   4.5706285e-10
   1.1853037e-01   1.9853517e-01   5.8859195e-01   4.7342721e-10
   1.1739747e-01   1.9663759e-01   5.8859195e-01   4.8933290e-10
   1.1627000e-01   1.9474911e-01   5.8859195e-01   5.0680250e-10
   1.1514796e-01   1.9286971e-01   5.8859195e-01   5.2541921e-10
   1.1403134e-01   1.9099941e-01   5.8859195e-01   5.4533053e-10
   1.1292015e-01   1.8913820e-01   5.8859195e-01   5.6401785e-10
   1.1181439e-01   1.8728609e-01   5.8859195e-01   5.8439800e-10
   1.1071406e-01   1.8544306e-01   5.8859195e-01   6.0678607e-10
   1.0961916e-01   1.8360913e-01   5.8859195e-01   6.2873324e-10
   1.0852969e-01   1.8178430e-01   5.8859195e-01   6.5310683e-10
   1.0744564e-01   1.7996855e-01   5.8859195e-01   6.7508399e-10
   1.0636703e-01   1.7816190e-01   5.8859195e-01   7.0174597e-10
   1.0529384e-01   1.7636434e-01   5.8859195e-01   7.2938964e-10
   1.0422609e-01   1.7457588e-01   5.8859195e-01   7.5746570e-10
   1.0316376e-01   1.7279650e-01   5.8859195e-01   7.8498290e-10
   1.0210686e-01   1.7102623e-01   5.8859195e-01   8.1389873e-10
   1.0105539e-01   1.6926504e-01   5.8859195e-01   8.4591794e-10
   1.0000934e-01   1.6751295e-01   5.8859195e-01   8.8003258e-10
   9.8968732e-02   1.6576995e-01   5.8859195e-01   9.1196241e-10
