#  kappa           omega           dperp           zero eigenvalue
   3.0140437e-01   4.5766504e-01  -1.5977916e-02   2.3027338e-10
   2.9949414e-01   4.5476975e-01  -1.6008173e-02   2.5786899e-10
   2.9759021e-01   4.5188348e-01  -1.6036302e-02   2.5085244e-10
   2.9569256e-01   4.4900626e-01  -1.6062419e-02   2.2724229e-10
   2.9380116e-01   4.4613809e-01  -1.6086639e-02   2.5545722e-10
   2.9191601e-01   4.4327898e-01  -1.6109073e-02   2.6247956e-10
   2.9003708e-01   4.4042895e-01  -1.6129825e-02   2.8737324e-10
   2.8816435e-01   4.3758801e-01  -1.6148999e-02   2.8139992e-10
   2.8629782e-01   4.3475616e-01  -1.6166692e-02   2.8298062e-10
   2.8443746e-01   4.3193342e-01  -1.6182998e-02   2.8854057e-10
   2.8258327e-01   4.2911979e-01  -1.6198007e-02   2.9290224e-10
   2.8073523e-01   4.2631527e-01  -1.6211805e-02   3.0420130e-10
   2.7889333e-01   4.2351987e-01  -1.6224474e-02   3.2083662e-10
   2.7705757e-01   4.2073361e-01  -1.6236090e-02   3.3059410e-10
   2.7522793e-01   4.1795648e-01  -1.6246729e-02   1.1863864e-10
   2.6959422e-01   4.0940443e-01  -1.6274224e-02   9.3807917e-11
   2.6778963e-01   4.0666481e-01  -1.6281538e-02   2.6029463e-10
   2.6599113e-01   4.0393434e-01  -1.6288192e-02   2.7201240e-10
   2.6419873e-01   4.0121302e-01  -1.6294237e-02   2.8183393e-10
   2.6241240e-01   3.9850087e-01  -1.6299720e-02   2.8751857e-10
   2.6063215e-01   3.9579788e-01  -1.6304687e-02   2.9138932e-10
   2.5885798e-01   3.9310406e-01  -1.6309181e-02   2.9526016e-10
   2.5708989e-01   3.9041940e-01  -1.6313240e-02   3.0833802e-10
   2.5532786e-01   3.8774391e-01  -1.6316902e-02   3.1744096e-10
   2.5357190e-01   3.8507760e-01  -1.6320201e-02   3.2116518e-10
   2.5182201e-01   3.8242045e-01  -1.6323168e-02   3.3806105e-10
   2.5007818e-01   3.7977248e-01  -1.6325833e-02   3.3191205e-10
   2.4834041e-01   3.7713368e-01  -1.6328223e-02   3.4946464e-10
   2.4660870e-01   3.7450406e-01  -1.6330363e-02   3.5640842e-10
   2.4488305e-01   3.7188362e-01  -1.6332276e-02   3.8078007e-10
   2.4316346e-01   3.6927235e-01  -1.6333985e-02   3.7769635e-10
   2.4144992e-01   3.6667026e-01  -1.6335508e-02   3.9001080e-10
   2.3974244e-01   3.6407736e-01  -1.6336863e-02   4.1206124e-10
   2.3804101e-01   3.6149363e-01  -1.6338068e-02   4.1017149e-10
   2.3634564e-01   3.5891908e-01  -1.6339136e-02   4.3222519e-10
   2.3465632e-01   3.5635371e-01  -1.6340082e-02   4.3024830e-10
   2.3297306e-01   3.5379753e-01  -1.6340919e-02   4.5755938e-10
   2.3129584e-01   3.5125053e-01  -1.6341658e-02   4.6953744e-10
   2.2962468e-01   3.4871271e-01  -1.6342309e-02   4.8156639e-10
   2.2795957e-01   3.4618407e-01  -1.6342882e-02   4.8845386e-10
   2.2630050e-01   3.4366462e-01  -1.6343384e-02   5.0731187e-10
   2.2464749e-01   3.4115435e-01  -1.6343826e-02   5.1099020e-10
   2.2300053e-01   3.3865327e-01  -1.6344211e-02   5.3823815e-10
   2.2135962e-01   3.3616137e-01  -1.6344549e-02   5.5574348e-10
   2.1972476e-01   3.3367865e-01  -1.6344842e-02   5.7469182e-10
   2.1809595e-01   3.3120512e-01  -1.6345098e-02   5.8174518e-10
   2.1647319e-01   3.2874077e-01  -1.6345321e-02   6.0522591e-10
   2.1485648e-01   3.2628561e-01  -1.6345513e-02   6.2319323e-10
   2.1324582e-01   3.2383964e-01  -1.6345680e-02   6.4319409e-10
   2.1164121e-01   3.2140285e-01  -1.6345824e-02   6.5367008e-10
   2.1004265e-01   3.1897525e-01  -1.6345948e-02   6.8290016e-10
   2.0845014e-01   3.1655683e-01  -1.6346055e-02   6.9654528e-10
   2.0686367e-01   3.1414760e-01  -1.6346147e-02   7.2827087e-10
   2.0528326e-01   3.1174755e-01  -1.6346225e-02   7.3863054e-10
   2.0370890e-01   3.0935670e-01  -1.6346292e-02   7.6591312e-10
   2.0214059e-01   3.0697502e-01  -1.6346349e-02   7.9010552e-10
   2.0057832e-01   3.0460254e-01  -1.6346398e-02   8.0887615e-10
   1.9902211e-01   3.0223924e-01  -1.6346440e-02   8.3376022e-10
   1.9747194e-01   2.9988513e-01  -1.6346475e-02   8.5818778e-10
   1.9592783e-01   2.9754021e-01  -1.6346504e-02   8.8995972e-10
   1.9438977e-01   2.9520447e-01  -1.6346529e-02   9.1658230e-10
   1.9285775e-01   2.9287792e-01  -1.6346550e-02   9.5029576e-10
   1.9133179e-01   2.9056056e-01  -1.6346568e-02   9.7391591e-10
   1.8981187e-01   2.8825239e-01  -1.6346582e-02   1.0047924e-09
   1.8829801e-01   2.8595340e-01  -1.6346594e-02   1.0455618e-09
   1.8679020e-01   2.8366361e-01  -1.6346605e-02   1.0683666e-09
   1.8528843e-01   2.8138300e-01  -1.6346613e-02   1.1163082e-09
   1.8379272e-01   2.7911157e-01  -1.6346620e-02   1.1442578e-09
   1.8230306e-01   2.7684934e-01  -1.6346626e-02   1.1777192e-09
   1.8081945e-01   2.7459630e-01  -1.6346630e-02   1.2189075e-09
   1.7934189e-01   2.7235244e-01  -1.6346634e-02   1.2534611e-09
   1.7787038e-01   2.7011777e-01  -1.6346637e-02   1.3005224e-09
   1.7640492e-01   2.6789229e-01  -1.6346640e-02   1.3453044e-09
   1.7494551e-01   2.6567600e-01  -1.6346641e-02   1.3879619e-09
