#  kappa           omega           dperp           zero eigenvalue
   2.3428046e-01   3.2619644e-01  -1.2082262e+00   3.4125782e-09
   2.3251931e-01   3.2374439e-01  -1.2082266e+00   3.5066706e-09
   2.3076480e-01   3.2130156e-01  -1.2082270e+00   3.6355178e-09
   2.2901692e-01   3.1886796e-01  -1.2082274e+00   3.7201941e-09
   2.2727568e-01   3.1644360e-01  -1.2082277e+00   3.8587822e-09
   2.2554107e-01   3.1402847e-01  -1.2082280e+00   3.9620572e-09
   2.2381310e-01   3.1162258e-01  -1.2082283e+00   4.0759953e-09
   2.2209176e-01   3.0922592e-01  -1.2082285e+00   4.2000296e-09
   2.2037705e-01   3.0683849e-01  -1.2082287e+00   4.3390136e-09
   2.1866898e-01   3.0446030e-01  -1.2082289e+00   4.4821868e-09
   2.1696755e-01   3.0209134e-01  -1.2082291e+00   4.5963014e-09
   2.1527274e-01   2.9973162e-01  -1.2082292e+00   4.7630656e-09
   2.1358458e-01   2.9738113e-01  -1.2082293e+00   4.9102088e-09
   2.1190304e-01   2.9503988e-01  -1.2082294e+00   5.0585806e-09
   2.1022814e-01   2.9270787e-01  -1.2082295e+00   5.2106783e-09
   2.0855988e-01   2.9038509e-01  -1.2082296e+00   5.3952741e-09
   2.0689825e-01   2.8807155e-01  -1.2082297e+00   5.5520779e-09
   2.0524325e-01   2.8576724e-01  -1.2082297e+00   5.7416407e-09
   2.0359489e-01   2.8347217e-01  -1.2082298e+00   5.9206121e-09
   2.0195316e-01   2.8118634e-01  -1.2082298e+00   6.1053946e-09
   2.0031806e-01   2.7890974e-01  -1.2082299e+00   6.3089226e-09
   1.9868961e-01   2.7664238e-01  -1.2082299e+00   6.5137484e-09
   1.9706778e-01   2.7438426e-01  -1.2082299e+00   6.7238914e-09
   1.9545259e-01   2.7213537e-01  -1.2082299e+00   6.9313942e-09
   1.9384403e-01   2.6989573e-01  -1.2082299e+00   7.1627364e-09
   1.9224211e-01   2.6766532e-01  -1.2082300e+00   7.4025330e-09
   1.9064682e-01   2.6544414e-01  -1.2082300e+00   7.6528801e-09
   1.8905817e-01   2.6323221e-01  -1.2082300e+00   7.9202746e-09
   1.8747615e-01   2.6102951e-01  -1.2082300e+00   8.1822457e-09
   1.8590077e-01   2.5883605e-01  -1.2082300e+00   8.4561789e-09
   1.8433203e-01   2.5665183e-01  -1.2082300e+00   8.7416076e-09
   1.8276991e-01   2.5447685e-01  -1.2082300e+00   9.0192290e-09
   1.8121444e-01   2.5231111e-01  -1.2082300e+00   9.3324203e-09
   1.7966559e-01   2.5015460e-01  -1.2082300e+00   9.6687331e-09
   1.7812339e-01   2.4800733e-01  -1.2082300e+00   1.0002162e-08
   1.7658782e-01   2.4586931e-01  -1.2082300e+00   1.0343585e-08
   1.7505888e-01   2.4374052e-01  -1.2082300e+00   1.0691890e-08
   1.7353658e-01   2.4162096e-01  -1.2082300e+00   1.1065873e-08
   1.7202092e-01   2.3951065e-01  -1.2082299e+00   1.1456523e-08
   1.7051189e-01   2.3740958e-01  -1.2082299e+00   1.1863338e-08
   1.6900950e-01   2.3531775e-01  -1.2082299e+00   1.2269016e-08
   1.6751374e-01   2.3323515e-01  -1.2082299e+00   1.2705371e-08
   1.6602462e-01   2.3116180e-01  -1.2082299e+00   1.3164902e-08
   1.6454213e-01   2.2909768e-01  -1.2082299e+00   1.3631571e-08
   1.6306628e-01   2.2704281e-01  -1.2082299e+00   1.4114281e-08
   1.6159707e-01   2.2499717e-01  -1.2082299e+00   1.4629987e-08
   1.6013449e-01   2.2296078e-01  -1.2082299e+00   1.5150007e-08
   1.5867855e-01   2.2093362e-01  -1.2082299e+00   1.5717114e-08
   1.5722925e-01   2.1891571e-01  -1.2082299e+00   1.6271443e-08
   1.5578658e-01   2.1690703e-01  -1.2082298e+00   1.6875828e-08
   1.5435055e-01   2.1490759e-01  -1.2082298e+00   1.7498991e-08
   1.5292116e-01   2.1291740e-01  -1.2082298e+00   1.8137650e-08
   1.5149840e-01   2.1093645e-01  -1.2082298e+00   1.8820598e-08
   1.5008228e-01   2.0896473e-01  -1.2082298e+00   1.9525442e-08
   1.4867280e-01   2.0700226e-01  -1.2082302e+00  -9.8041938e-12
   1.4726995e-01   2.0504903e-01  -1.2082302e+00   1.7456543e-12
   1.4587374e-01   2.0310504e-01  -1.2082302e+00   5.8515198e-12
   1.4448417e-01   2.0117029e-01  -1.2082302e+00  -3.9956068e-12
   1.4310123e-01   1.9924478e-01  -1.2082302e+00   3.8495556e-12
   1.4172493e-01   1.9732851e-01  -1.2082302e+00  -1.8593027e-13
   1.4035527e-01   1.9542148e-01  -1.2082302e+00   5.3724466e-13
   1.3899225e-01   1.9352370e-01  -1.2082302e+00  -4.5630011e-12
   1.3763586e-01   1.9163515e-01  -1.2082302e+00  -1.1727129e-13
   1.3628611e-01   1.8975585e-01  -1.2082302e+00  -1.8387222e-12
   1.3494300e-01   1.8788579e-01  -1.2082302e+00   1.2391345e-12
   1.3360653e-01   1.8602497e-01  -1.2082302e+00  -8.5305786e-12
   1.3227669e-01   1.8417339e-01  -1.2082302e+00  -4.1894116e-12
   1.3095349e-01   1.8233106e-01  -1.2082302e+00   8.3024930e-14
