#  kappa           omega           dperp           zero eigenvalue
   5.0497226e-01   6.3372985e-01  -3.0959766e+00  -1.0671074e-10
   4.9887108e-01   6.3456044e-01  -2.6229912e+00   2.7447101e-08
   4.9362790e-01   6.3419236e-01  -2.3412391e+00   1.0693952e-09
   4.8888978e-01   6.3316576e-01  -2.1477257e+00  -1.0110148e-10
   4.8449885e-01   6.3171202e-01  -2.0044111e+00   3.2542207e-10
   4.8036743e-01   6.2995528e-01  -1.8931502e+00   5.9722594e-10
   4.7644047e-01   6.2797123e-01  -1.8039335e+00   7.8125891e-10
   4.7268057e-01   6.2581001e-01  -1.7306858e+00   7.7360104e-10
   4.6906077e-01   6.2350688e-01  -1.6694604e+00   8.1691082e-10
   4.6556085e-01   6.2108769e-01  -1.6175584e+00   8.1874013e-10
   4.6216511e-01   6.1857212e-01  -1.5730596e+00   8.5985578e-10
   4.5886105e-01   6.1597549e-01  -1.5345530e+00   7.0384811e-10
   4.5563850e-01   6.1331005e-01  -1.5009741e+00   7.3651767e-10
   4.5248903e-01   6.1058574e-01  -1.4715019e+00   7.5008392e-10
   4.4940556e-01   6.0781077e-01  -1.4454916e+00   6.8132155e-10
   4.4638206e-01   6.0499200e-01  -1.4224279e+00   7.4161249e-10
   4.4341336e-01   6.0213522e-01  -1.4018939e+00   6.6344726e-10
   4.4049495e-01   5.9924540e-01  -1.3835476e+00   7.0534752e-10
   4.3762289e-01   5.9632681e-01  -1.3671058e+00   5.8203589e-10
   4.3479370e-01   5.9338314e-01  -1.3523313e+00   5.9962373e-10
   4.3200431e-01   5.9041764e-01  -1.3390241e+00   6.0607498e-10
   4.2925196e-01   5.8743316e-01  -1.3270140e+00   6.1727642e-10
   4.2653420e-01   5.8443221e-01  -1.3161554e+00   5.8794694e-10
   4.2384878e-01   5.8141705e-01  -1.3063224e+00   6.4495832e-10
   4.2119372e-01   5.7838966e-01  -1.2974062e+00   6.2004183e-10
   4.1856718e-01   5.7535184e-01  -1.2893119e+00   6.6280312e-10
   4.1596751e-01   5.7230521e-01  -1.2819563e+00   6.1842254e-10
   4.1339320e-01   5.6925121e-01  -1.2752662e+00   6.7672231e-10
   4.1084285e-01   5.6619117e-01  -1.2691770e+00   5.6454819e-10
   4.0831520e-01   5.6312628e-01  -1.2636313e+00   6.0356732e-10
   4.0580907e-01   5.6005764e-01  -1.2585783e+00   6.5091319e-10
   4.0332340e-01   5.5698624e-01  -1.2539722e+00   6.0606792e-10
   4.0085719e-01   5.5391298e-01  -1.2497725e+00   6.6003098e-10
   3.9840951e-01   5.5083871e-01  -1.2459425e+00   6.1130094e-10
   3.9597954e-01   5.4776419e-01  -1.2424492e+00   6.4350972e-10
   3.9356647e-01   5.4469012e-01  -1.2392630e+00   6.0735804e-10
   3.9116957e-01   5.4161715e-01  -1.2363570e+00   6.8502869e-10
   3.8878818e-01   5.3854589e-01  -1.2337068e+00   7.1400056e-10
   3.8642167e-01   5.3547687e-01  -1.2312905e+00   6.5194416e-10
   3.8406944e-01   5.3241062e-01  -1.2290879e+00   6.5871124e-10
   3.8173096e-01   5.2934760e-01  -1.2270808e+00   7.1711883e-10
   3.7940573e-01   5.2628825e-01  -1.2252524e+00   7.5179651e-10
   3.7709326e-01   5.2323298e-01  -1.2235877e+00   7.4146442e-10
   3.7479313e-01   5.2018216e-01  -1.2220727e+00   7.0958352e-10
   3.7250492e-01   5.1713615e-01  -1.2206947e+00   7.7442800e-10
   3.7022825e-01   5.1409526e-01  -1.2194421e+00   7.6815119e-10
   3.6796277e-01   5.1105979e-01  -1.2183043e+00   7.8743003e-10
   3.6570816e-01   5.0803004e-01  -1.2172714e+00   7.6920274e-10
   3.6346409e-01   5.0500625e-01  -1.2163345e+00   7.9355974e-10
   3.6123028e-01   5.0198866e-01  -1.2154854e+00   8.2426421e-10
   3.5900648e-01   4.9897751e-01  -1.2147166e+00   8.1831264e-10
   3.5679241e-01   4.9597300e-01  -1.2140210e+00   8.6474370e-10
   3.5458786e-01   4.9297533e-01  -1.2133924e+00   8.7727531e-10
   3.5239261e-01   4.8998467e-01  -1.2128249e+00   8.6029995e-10
   3.5020646e-01   4.8700120e-01  -1.2123131e+00   8.7355487e-10
   3.4802921e-01   4.8402507e-01  -1.2118521e+00   9.0123016e-10
   3.4586070e-01   4.8105642e-01  -1.2114373e+00   9.4989611e-10
   3.4370076e-01   4.7809539e-01  -1.2110647e+00   9.9026106e-10
   3.4154924e-01   4.7514211e-01  -1.2107303e+00   1.0080877e-09
   3.3940600e-01   4.7219669e-01  -1.2104306e+00   1.0219677e-09
   3.3727090e-01   4.6925924e-01  -1.2101625e+00   1.0179995e-09
   3.3514384e-01   4.6632986e-01  -1.2099231e+00   1.0697576e-09
   3.3302469e-01   4.6340865e-01  -1.2097095e+00   1.1027381e-09
   3.3091336e-01   4.6049568e-01  -1.2095193e+00   1.1617213e-09
   3.2880973e-01   4.5759105e-01  -1.2093503e+00   1.1579285e-09
   3.2671374e-01   4.5469482e-01  -1.2092004e+00   1.1936550e-09
   3.2462529e-01   4.5180706e-01  -1.2090677e+00   1.2256798e-09
   3.2254430e-01   4.4892784e-01  -1.2089505e+00   1.2570763e-09
   3.2047071e-01   4.4605721e-01  -1.2088472e+00   1.2585778e-09
   3.1840444e-01   4.4319523e-01  -1.2087564e+00   1.3118291e-09
   3.1634545e-01   4.4034195e-01  -1.2086767e+00   1.3861422e-09
   3.1429367e-01   4.3749741e-01  -1.2086070e+00   1.3992136e-09
   3.1224905e-01   4.3466166e-01  -1.2085462e+00   1.4079184e-09
   3.1021155e-01   4.3183474e-01  -1.2084934e+00   1.4584967e-09
   3.0818112e-01   4.2901668e-01  -1.2084476e+00   1.4978311e-09
   3.0615772e-01   4.2620751e-01  -1.2084081e+00   1.5470337e-09
   3.0414131e-01   4.2340728e-01  -1.2083740e+00   1.5909585e-09
   3.0213187e-01   4.2061599e-01  -1.2083449e+00   1.6383023e-09
   3.0012936e-01   4.1783369e-01  -1.2083201e+00   5.2295627e-10
   2.9415245e-01   4.0952604e-01  -1.2082665e+00   4.4311241e-10
   2.9217744e-01   4.0677993e-01  -1.2082541e+00   1.4488348e-09
   2.9020924e-01   4.0404289e-01  -1.2082440e+00   1.5012226e-09
   2.8824784e-01   4.0131496e-01  -1.2082357e+00   1.4948369e-09
   2.8629321e-01   3.9859612e-01  -1.2082291e+00   1.5840481e-09
   2.8434534e-01   3.9588641e-01  -1.2082238e+00   1.5861784e-09
   2.8240423e-01   3.9318584e-01  -1.2082197e+00   1.6573689e-09
   2.8046985e-01   3.9049440e-01  -1.2082166e+00   1.7018672e-09
   2.7854219e-01   3.8781212e-01  -1.2082144e+00   1.7356267e-09
   2.7662125e-01   3.8513899e-01  -1.2082128e+00   1.7945485e-09
   2.7470702e-01   3.8247504e-01  -1.2082118e+00   1.8377092e-09
   2.7279949e-01   3.7982026e-01  -1.2082113e+00   1.8938961e-09
   2.7089865e-01   3.7717465e-01  -1.2082112e+00   1.9318953e-09
   2.6900449e-01   3.7453824e-01  -1.2082114e+00   1.9797121e-09
   2.6711701e-01   3.7191102e-01  -1.2082119e+00   2.0450919e-09
   2.6523621e-01   3.6929300e-01  -1.2082125e+00   2.1095679e-09
   2.6336207e-01   3.6668417e-01  -1.2082133e+00   2.1635617e-09
   2.6149460e-01   3.6408455e-01  -1.2082141e+00   2.2127819e-09
   2.5963379e-01   3.6149414e-01  -1.2082151e+00   2.2593231e-09
   2.5777963e-01   3.5891294e-01  -1.2082160e+00   2.3592831e-09
   2.5593213e-01   3.5634095e-01  -1.2082170e+00   2.4084890e-09
   2.5409129e-01   3.5377818e-01  -1.2082180e+00   2.4851548e-09
   2.5225709e-01   3.5122463e-01  -1.2082190e+00   2.5615961e-09
   2.5042954e-01   3.4868030e-01  -1.2082199e+00   2.6343194e-09
   2.4860863e-01   3.4614518e-01  -1.2082208e+00   2.7147060e-09
   2.4679437e-01   3.4361930e-01  -1.2082216e+00   2.7880792e-09
   2.4498675e-01   3.4110263e-01  -1.2082224e+00   2.8490449e-09
   2.4318577e-01   3.3859520e-01  -1.2082232e+00   2.9506461e-09
   2.4139143e-01   3.3609699e-01  -1.2082239e+00   3.0349844e-09
   2.3960374e-01   3.3360801e-01  -1.2082245e+00   3.1401628e-09
   2.3782267e-01   3.3112826e-01  -1.2082251e+00   3.2200964e-09
   2.3604825e-01   3.2865774e-01  -1.2082257e+00   3.3180715e-09
